Any;NomMun;Comarca;Costa;Muntanya;Poblacio_padro;Superficie_ha;05_SU;05_SURB;05_SNU;12_A1_SUC;12_A2_SUC;12_A3_SUC;15_SV_SUC;20_Equip_habt
2012;el Bruc;Anoia;0;;2029;4733,5800;140,6794;6,623;4586,2805;11,7035;0;0;11,0487;12,7696
2012;el Brull;Osona;0;Zona de muntanya;261;4153,0000;28,5859;25,1602;4099,2582;0;0;0;2,4458;77,9217
2012;les Cabanyes;Alt Penedès;0;;947;115,52;23,8846;18,554;73,0806;0;0;0;2,0692;6,7704
2012;Cabrera d'Anoia;Anoia;0;;1376;1723,0100;234,8224;13,9041;1474,2791;2,651;0;0;32,5727;68,2678
2012;Cabrera de Mar;Maresme;1;;4532;903,67;191,7377;66,6885;645,2459;22,0569;10,2025;0;9,2746;13,5162
2012;Cabrils;Maresme;0;;7140;699,26;337,4811;52,364;309,4152;0;0,5266;0;41,9404;11,4201
2012;Calaf;Anoia;0;;3538;926,69;106,2051;107,8136;712,6722;26,5863;0,3205;0;6,6838;23,7682
2012;Caldes d'Estrac;Maresme;1;;2773;82,58;57,9715;22,5855;2,0271;0;1,3477;0;4,2228;7,9138
2012;Caldes de Montbui;Vallès Oriental;0;;17271;3775,0800;520,8545;65,258;3188,9699;54,6757;3,9748;0;64,259;21,5386
2012;Calders;Moianès;0;;955;3282,8000;83,6545;15,293;3183,8512;0;0,1768;0;10,008;36,0643
2012;Calella;Maresme;1;;18529;802,18;188,5759;84,4469;529,1567;0;6,0534;0;27,1223;9,2144
2012;Calonge de Segarra;Anoia;0;Zona de muntanya;201;3702,9400;25,4946;0;3677,4458;17,0395;0,198;0;0,507;83,5738
2012;Calldetenes;Osona;0;;2441;585,05;52,3425;23,2226;509,488;1,0386;0;0;2,747;15,1623
2012;Callús;Bages;0;;1909;1245,2100;44,7806;40,2553;1160,1750;13,0954;0;0;6,4568;8,318
2012;Campins;Vallès Oriental;0;;496;749,97;21,1911;34,4066;694,3679;0;4,1646;0;4,185;33,9773
2012;Canet de Mar;Maresme;1;;14183;550,55;119,9964;69,6719;360,882;3,1641;0;0;7,4847;6,1241
2012;Canovelles;Vallès Oriental;0;;16090;683,64;199,7434;60,8533;423,044;53,1415;0;0;13,4398;4,8469
2012;Cànoves i Samalús;Vallès Oriental;0;;2865;2879,2200;155,1502;38,6622;2685,4046;0;0;0;21,2279;36,2931
2012;Canyelles;Garraf;0;;4275;1403,8500;198,1332;274,8152;930,9056;2,7802;2,2897;0;38,9755;20,2365
